"","Region","Treatment","Metabolite","Intensity"
"24","Hippocampus","Est","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",84103656
"25","Basal ganglia","Control","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",120483600
"26","Basal ganglia","Control","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",106017296
"27","Basal ganglia","Control","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",59433480
"28","Basal ganglia","Control","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",92523432
"29","Basal ganglia","Control","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",134889648
"30","Basal ganglia","Control","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",147752608
"31","Basal ganglia","Control","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",87792088
"32","Basal ganglia","Control","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",90410672
"33","Basal ganglia","C4","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",285570784
"34","Basal ganglia","C4","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",375265632
"35","Basal ganglia","C4","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",204241296
"36","Basal ganglia","C4","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",341943424
"37","Basal ganglia","C4","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",334677312
"38","Basal ganglia","C4","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",318345472
"39","Basal ganglia","C4","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",169499824
"40","Basal ganglia","C4","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",24231298
"41","Basal ganglia","Est","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",370159072
"42","Basal ganglia","Est","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",329632704
"43","Basal ganglia","Est","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",345959552
"44","Basal ganglia","Est","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",389986816
"45","Basal ganglia","Est","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",280889728
"46","Basal ganglia","Est","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",148245408
"47","Basal ganglia","Est","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",295866208
"48","Basal ganglia","Est","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",328722240
"49","Hypothalamus","Control","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",260542528
"50","Hypothalamus","Control","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",293775552
"51","Hypothalamus","Control","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",300739392
"52","Hypothalamus","Control","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",142456704
"53","Hypothalamus","Control","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",257637952
"54","Hypothalamus","Control","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",191057312
"55","Hypothalamus","Control","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",183319520
"56","Hypothalamus","Control","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",366729312
"57","Hypothalamus","C4","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",245352880
"58","Hypothalamus","C4","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",246007920
"59","Hypothalamus","C4","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",355360128
"60","Hypothalamus","C4","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",247281408
"61","Hypothalamus","C4","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",291441856
"62","Hypothalamus","C4","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",253671920
"63","Hypothalamus","C4","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",54716908
"64","Hypothalamus","C4","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",330422752
"65","Hypothalamus","Est","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",221794800
"66","Hypothalamus","Est","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",229440320
"67","Hypothalamus","Est","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",215233568
"68","Hypothalamus","Est","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",243464816
"69","Hypothalamus","Est","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",264831216
"70","Hypothalamus","Est","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",204852688
"71","Hypothalamus","Est","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",242862576
"72","Hypothalamus","Est","1-Propanaminium, 2-(acetyloxy)-3-carboxy-N,N,N-trimethyl-, inner salt",34022556
"73","Hippocampus","Control","2,3-Dihydroxybenzoic acid",34479
"74","Hippocampus","Control","2,3-Dihydroxybenzoic acid",45908
"75","Hippocampus","Control","2,3-Dihydroxybenzoic acid",34050
"76","Hippocampus","Control","2,3-Dihydroxybenzoic acid",37548
"77","Hippocampus","Control","2,3-Dihydroxybenzoic acid",36058
"78","Hippocampus","Control","2,3-Dihydroxybenzoic acid",29517
"79","Hippocampus","Control","2,3-Dihydroxybenzoic acid",20935
"80","Hippocampus","Control","2,3-Dihydroxybenzoic acid",25990
"81","Hippocampus","C4","2,3-Dihydroxybenzoic acid",33635
"82","Hippocampus","C4","2,3-Dihydroxybenzoic acid",42685
"83","Hippocampus","C4","2,3-Dihydroxybenzoic acid",45363
"84","Hippocampus","C4","2,3-Dihydroxybenzoic acid",35996
"85","Hippocampus","C4","2,3-Dihydroxybenzoic acid",41993
"86","Hippocampus","C4","2,3-Dihydroxybenzoic acid",49767
"87","Hippocampus","C4","2,3-Dihydroxybenzoic acid",22621
"88","Hippocampus","C4","2,3-Dihydroxybenzoic acid",35798
"89","Hippocampus","Est","2,3-Dihydroxybenzoic acid",39025
"90","Hippocampus","Est","2,3-Dihydroxybenzoic acid",23977
"91","Hippocampus","Est","2,3-Dihydroxybenzoic acid",28875
"92","Hippocampus","Est","2,3-Dihydroxybenzoic acid",24314
"93","Hippocampus","Est","2,3-Dihydroxybenzoic acid",36545
"94","Hippocampus","Est","2,3-Dihydroxybenzoic acid",26900
"95","Hippocampus","Est","2,3-Dihydroxybenzoic acid",19572
"96","Hippocampus","Est","2,3-Dihydroxybenzoic acid",26258
"97","Basal ganglia","Control","2,3-Dihydroxybenzoic acid",29090
"98","Basal ganglia","Control","2,3-Dihydroxybenzoic acid",22169
"99","Basal ganglia","Control","2,3-Dihydroxybenzoic acid",28891
"100","Basal ganglia","Control","2,3-Dihydroxybenzoic acid",25423
"101","Basal ganglia","Control","2,3-Dihydroxybenzoic acid",37220
"102","Basal ganglia","Control","2,3-Dihydroxybenzoic acid",19555
"103","Basal ganglia","Control","2,3-Dihydroxybenzoic acid",21333
"104","Basal ganglia","Control","2,3-Dihydroxybenzoic acid",27411
"105","Basal ganglia","C4","2,3-Dihydroxybenzoic acid",20190
"106","Basal ganglia","C4","2,3-Dihydroxybenzoic acid",35686
"107","Basal ganglia","C4","2,3-Dihydroxybenzoic acid",26035
"108","Basal ganglia","C4","2,3-Dihydroxybenzoic acid",29576
"109","Basal ganglia","C4","2,3-Dihydroxybenzoic acid",44194
"110","Basal ganglia","C4","2,3-Dihydroxybenzoic acid",19595
"111","Basal ganglia","C4","2,3-Dihydroxybenzoic acid",22844
"112","Basal ganglia","C4","2,3-Dihydroxybenzoic acid",35942
"113","Basal ganglia","Est","2,3-Dihydroxybenzoic acid",39048
"114","Basal ganglia","Est","2,3-Dihydroxybenzoic acid",23070
"115","Basal ganglia","Est","2,3-Dihydroxybenzoic acid",26686
"116","Basal ganglia","Est","2,3-Dihydroxybenzoic acid",17802
"117","Basal ganglia","Est","2,3-Dihydroxybenzoic acid",22797
"118","Basal ganglia","Est","2,3-Dihydroxybenzoic acid",19298
"119","Basal ganglia","Est","2,3-Dihydroxybenzoic acid",15375
"120","Basal ganglia","Est","2,3-Dihydroxybenzoic acid",26574
"121","Hypothalamus","Control","2,3-Dihydroxybenzoic acid",27606
"122","Hypothalamus","Control","2,3-Dihydroxybenzoic acid",39580
"123","Hypothalamus","Control","2,3-Dihydroxybenzoic acid",29966
"124","Hypothalamus","Control","2,3-Dihydroxybenzoic acid",11685
"125","Hypothalamus","Control","2,3-Dihydroxybenzoic acid",29708
"126","Hypothalamus","Control","2,3-Dihydroxybenzoic acid",20779
"127","Hypothalamus","Control","2,3-Dihydroxybenzoic acid",23132
"128","Hypothalamus","Control","2,3-Dihydroxybenzoic acid",19184
"129","Hypothalamus","C4","2,3-Dihydroxybenzoic acid",26154
"130","Hypothalamus","C4","2,3-Dihydroxybenzoic acid",30411
"131","Hypothalamus","C4","2,3-Dihydroxybenzoic acid",61776
"132","Hypothalamus","C4","2,3-Dihydroxybenzoic acid",40545
"133","Hypothalamus","C4","2,3-Dihydroxybenzoic acid",26628
"134","Hypothalamus","C4","2,3-Dihydroxybenzoic acid",66892
"135","Hypothalamus","C4","2,3-Dihydroxybenzoic acid",17315
"136","Hypothalamus","C4","2,3-Dihydroxybenzoic acid",25846
"137","Hypothalamus","Est","2,3-Dihydroxybenzoic acid",17448
"138","Hypothalamus","Est","2,3-Dihydroxybenzoic acid",19275
"139","Hypothalamus","Est","2,3-Dihydroxybenzoic acid",25080
"140","Hypothalamus","Est","2,3-Dihydroxybenzoic acid",31790
"141","Hypothalamus","Est","2,3-Dihydroxybenzoic acid",23841
"142","Hypothalamus","Est","2,3-Dihydroxybenzoic acid",27127
"143","Hypothalamus","Est","2,3-Dihydroxybenzoic acid",15965
"144","Hypothalamus","Est","2,3-Dihydroxybenzoic acid",19473
"145","Hippocampus","Control","3-Methyl-2-oxobutanoic acid",239885
"146","Hippocampus","Control","3-Methyl-2-oxobutanoic acid",230350
"147","Hippocampus","Control","3-Methyl-2-oxobutanoic acid",225413
"148","Hippocampus","Control","3-Methyl-2-oxobutanoic acid",222942
"149","Hippocampus","Control","3-Methyl-2-oxobutanoic acid",220438
"150","Hippocampus","Control","3-Methyl-2-oxobutanoic acid",211531
"151","Hippocampus","Control","3-Methyl-2-oxobutanoic acid",199141
"152","Hippocampus","Control","3-Methyl-2-oxobutanoic acid",194742
"153","Hippocampus","C4","3-Methyl-2-oxobutanoic acid",196478
"154","Hippocampus","C4","3-Methyl-2-oxobutanoic acid",195153
"155","Hippocampus","C4","3-Methyl-2-oxobutanoic acid",189762
"156","Hippocampus","C4","3-Methyl-2-oxobutanoic acid",190301
"157","Hippocampus","C4","3-Methyl-2-oxobutanoic acid",184620
"158","Hippocampus","C4","3-Methyl-2-oxobutanoic acid",179567
"159","Hippocampus","C4","3-Methyl-2-oxobutanoic acid",170338
"160","Hippocampus","C4","3-Methyl-2-oxobutanoic acid",173030
"161","Hippocampus","Est","3-Methyl-2-oxobutanoic acid",173717
"162","Hippocampus","Est","3-Methyl-2-oxobutanoic acid",171673
"163","Hippocampus","Est","3-Methyl-2-oxobutanoic acid",179532
"164","Hippocampus","Est","3-Methyl-2-oxobutanoic acid",169624
"165","Hippocampus","Est","3-Methyl-2-oxobutanoic acid",165884
"166","Hippocampus","Est","3-Methyl-2-oxobutanoic acid",170838
"167","Hippocampus","Est","3-Methyl-2-oxobutanoic acid",161016
"168","Hippocampus","Est","3-Methyl-2-oxobutanoic acid",160717
"169","Basal ganglia","Control","3-Methyl-2-oxobutanoic acid",153238
"170","Basal ganglia","Control","3-Methyl-2-oxobutanoic acid",152509
"171","Basal ganglia","Control","3-Methyl-2-oxobutanoic acid",150474
"172","Basal ganglia","Control","3-Methyl-2-oxobutanoic acid",156866
"173","Basal ganglia","Control","3-Methyl-2-oxobutanoic acid",152872
"174","Basal ganglia","Control","3-Methyl-2-oxobutanoic acid",151074
"175","Basal ganglia","Control","3-Methyl-2-oxobutanoic acid",148948
"176","Basal ganglia","Control","3-Methyl-2-oxobutanoic acid",154658
"177","Basal ganglia","C4","3-Methyl-2-oxobutanoic acid",156880
"178","Basal ganglia","C4","3-Methyl-2-oxobutanoic acid",147789
"179","Basal ganglia","C4","3-Methyl-2-oxobutanoic acid",151137
"180","Basal ganglia","C4","3-Methyl-2-oxobutanoic acid",142735
"181","Basal ganglia","C4","3-Methyl-2-oxobutanoic acid",147198
"182","Basal ganglia","C4","3-Methyl-2-oxobutanoic acid",141152
"183","Basal ganglia","C4","3-Methyl-2-oxobutanoic acid",151406
"184","Basal ganglia","C4","3-Methyl-2-oxobutanoic acid",146246
"185","Basal ganglia","Est","3-Methyl-2-oxobutanoic acid",152861
"186","Basal ganglia","Est","3-Methyl-2-oxobutanoic acid",149045
"187","Basal ganglia","Est","3-Methyl-2-oxobutanoic acid",157687
"188","Basal ganglia","Est","3-Methyl-2-oxobutanoic acid",162628
"189","Basal ganglia","Est","3-Methyl-2-oxobutanoic acid",138893
"190","Basal ganglia","Est","3-Methyl-2-oxobutanoic acid",137637
"191","Basal ganglia","Est","3-Methyl-2-oxobutanoic acid",142356
"192","Basal ganglia","Est","3-Methyl-2-oxobutanoic acid",144603
"193","Hypothalamus","Control","3-Methyl-2-oxobutanoic acid",156107
"194","Hypothalamus","Control","3-Methyl-2-oxobutanoic acid",160711
"195","Hypothalamus","Control","3-Methyl-2-oxobutanoic acid",160972
"196","Hypothalamus","Control","3-Methyl-2-oxobutanoic acid",168025
"197","Hypothalamus","Control","3-Methyl-2-oxobutanoic acid",163796
"198","Hypothalamus","Control","3-Methyl-2-oxobutanoic acid",165389
"199","Hypothalamus","Control","3-Methyl-2-oxobutanoic acid",161537
"200","Hypothalamus","Control","3-Methyl-2-oxobutanoic acid",161572
"201","Hypothalamus","C4","3-Methyl-2-oxobutanoic acid",160460
"202","Hypothalamus","C4","3-Methyl-2-oxobutanoic acid",164532
"203","Hypothalamus","C4","3-Methyl-2-oxobutanoic acid",165991
"204","Hypothalamus","C4","3-Methyl-2-oxobutanoic acid",161366
"205","Hypothalamus","C4","3-Methyl-2-oxobutanoic acid",163836
"206","Hypothalamus","C4","3-Methyl-2-oxobutanoic acid",162818
"207","Hypothalamus","C4","3-Methyl-2-oxobutanoic acid",168106
"208","Hypothalamus","C4","3-Methyl-2-oxobutanoic acid",165327
"209","Hypothalamus","Est","3-Methyl-2-oxobutanoic acid",163317
"210","Hypothalamus","Est","3-Methyl-2-oxobutanoic acid",159502
"211","Hypothalamus","Est","3-Methyl-2-oxobutanoic acid",169956
"212","Hypothalamus","Est","3-Methyl-2-oxobutanoic acid",161647
"213","Hypothalamus","Est","3-Methyl-2-oxobutanoic acid",160260
"214","Hypothalamus","Est","3-Methyl-2-oxobutanoic acid",161901
"215","Hypothalamus","Est","3-Methyl-2-oxobutanoic acid",157057
"216","Hypothalamus","Est","3-Methyl-2-oxobutanoic acid",163565
"217","Hippocampus","Control","4-Methyl-2-oxopentanoic acid",228992
"218","Hippocampus","Control","4-Methyl-2-oxopentanoic acid",237775
"219","Hippocampus","Control","4-Methyl-2-oxopentanoic acid",230841
"220","Hippocampus","Control","4-Methyl-2-oxopentanoic acid",215568
"221","Hippocampus","Control","4-Methyl-2-oxopentanoic acid",213584
"222","Hippocampus","Control","4-Methyl-2-oxopentanoic acid",218315
"223","Hippocampus","Control","4-Methyl-2-oxopentanoic acid",206179
"224","Hippocampus","Control","4-Methyl-2-oxopentanoic acid",214188
"225","Hippocampus","C4","4-Methyl-2-oxopentanoic acid",216012
"226","Hippocampus","C4","4-Methyl-2-oxopentanoic acid",191614
"227","Hippocampus","C4","4-Methyl-2-oxopentanoic acid",174302
"228","Hippocampus","C4","4-Methyl-2-oxopentanoic acid",192560
"229","Hippocampus","C4","4-Methyl-2-oxopentanoic acid",196119
"230","Hippocampus","C4","4-Methyl-2-oxopentanoic acid",208627
"231","Hippocampus","C4","4-Methyl-2-oxopentanoic acid",197943
"232","Hippocampus","C4","4-Methyl-2-oxopentanoic acid",207047
"233","Hippocampus","Est","4-Methyl-2-oxopentanoic acid",195633
"234","Hippocampus","Est","4-Methyl-2-oxopentanoic acid",192986
"235","Hippocampus","Est","4-Methyl-2-oxopentanoic acid",187851
"236","Hippocampus","Est","4-Methyl-2-oxopentanoic acid",185917
"237","Hippocampus","Est","4-Methyl-2-oxopentanoic acid",186931
"238","Hippocampus","Est","4-Methyl-2-oxopentanoic acid",190058
"239","Hippocampus","Est","4-Methyl-2-oxopentanoic acid",203160
"240","Hippocampus","Est","4-Methyl-2-oxopentanoic acid",177964
"241","Basal ganglia","Control","4-Methyl-2-oxopentanoic acid",209153
"242","Basal ganglia","Control","4-Methyl-2-oxopentanoic acid",178902
"243","Basal ganglia","Control","4-Methyl-2-oxopentanoic acid",187665
"244","Basal ganglia","Control","4-Methyl-2-oxopentanoic acid",185148
"245","Basal ganglia","Control","4-Methyl-2-oxopentanoic acid",170377
"246","Basal ganglia","Control","4-Methyl-2-oxopentanoic acid",196325
"247","Basal ganglia","Control","4-Methyl-2-oxopentanoic acid",195947
"248","Basal ganglia","Control","4-Methyl-2-oxopentanoic acid",188632
"249","Basal ganglia","C4","4-Methyl-2-oxopentanoic acid",181278
"250","Basal ganglia","C4","4-Methyl-2-oxopentanoic acid",173787
"251","Basal ganglia","C4","4-Methyl-2-oxopentanoic acid",200328
"252","Basal ganglia","C4","4-Methyl-2-oxopentanoic acid",185472
"253","Basal ganglia","C4","4-Methyl-2-oxopentanoic acid",183608
"254","Basal ganglia","C4","4-Methyl-2-oxopentanoic acid",183798
"255","Basal ganglia","C4","4-Methyl-2-oxopentanoic acid",173480
"256","Basal ganglia","C4","4-Methyl-2-oxopentanoic acid",167326
"257","Basal ganglia","Est","4-Methyl-2-oxopentanoic acid",223587
"258","Basal ganglia","Est","4-Methyl-2-oxopentanoic acid",177985
"259","Basal ganglia","Est","4-Methyl-2-oxopentanoic acid",189211
"260","Basal ganglia","Est","4-Methyl-2-oxopentanoic acid",221356
"261","Basal ganglia","Est","4-Methyl-2-oxopentanoic acid",187332
"262","Basal ganglia","Est","4-Methyl-2-oxopentanoic acid",186063
"263","Basal ganglia","Est","4-Methyl-2-oxopentanoic acid",194912
"264","Basal ganglia","Est","4-Methyl-2-oxopentanoic acid",186368
"265","Hypothalamus","Control","4-Methyl-2-oxopentanoic acid",223314
"266","Hypothalamus","Control","4-Methyl-2-oxopentanoic acid",222761
"267","Hypothalamus","Control","4-Methyl-2-oxopentanoic acid",215086
"268","Hypothalamus","Control","4-Methyl-2-oxopentanoic acid",219800
"269","Hypothalamus","Control","4-Methyl-2-oxopentanoic acid",215629
"270","Hypothalamus","Control","4-Methyl-2-oxopentanoic acid",247438
"271","Hypothalamus","Control","4-Methyl-2-oxopentanoic acid",216063
"272","Hypothalamus","Control","4-Methyl-2-oxopentanoic acid",211374
"273","Hypothalamus","C4","4-Methyl-2-oxopentanoic acid",211206
"274","Hypothalamus","C4","4-Methyl-2-oxopentanoic acid",219879
"275","Hypothalamus","C4","4-Methyl-2-oxopentanoic acid",209890
"276","Hypothalamus","C4","4-Methyl-2-oxopentanoic acid",220409
"277","Hypothalamus","C4","4-Methyl-2-oxopentanoic acid",226269
"278","Hypothalamus","C4","4-Methyl-2-oxopentanoic acid",205773
"279","Hypothalamus","C4","4-Methyl-2-oxopentanoic acid",220234
"280","Hypothalamus","C4","4-Methyl-2-oxopentanoic acid",212491
"281","Hypothalamus","Est","4-Methyl-2-oxopentanoic acid",210113
"282","Hypothalamus","Est","4-Methyl-2-oxopentanoic acid",213756
"283","Hypothalamus","Est","4-Methyl-2-oxopentanoic acid",208320
"284","Hypothalamus","Est","4-Methyl-2-oxopentanoic acid",222923
"285","Hypothalamus","Est","4-Methyl-2-oxopentanoic acid",213744
"286","Hypothalamus","Est","4-Methyl-2-oxopentanoic acid",213123
"287","Hypothalamus","Est","4-Methyl-2-oxopentanoic acid",207723
"288","Hypothalamus","Est","4-Methyl-2-oxopentanoic acid",228972
"289","Hippocampus","Control","3-Hydroxyanthranilic acid",5219333
"290","Hippocampus","Control","3-Hydroxyanthranilic acid",5005830
"291","Hippocampus","Control","3-Hydroxyanthranilic acid",5236451
"292","Hippocampus","Control","3-Hydroxyanthranilic acid",6919015
"293","Hippocampus","Control","3-Hydroxyanthranilic acid",6162380
"294","Hippocampus","Control","3-Hydroxyanthranilic acid",10845155
"295","Hippocampus","Control","3-Hydroxyanthranilic acid",9439844
"296","Hippocampus","Control","3-Hydroxyanthranilic acid",9990766
"297","Hippocampus","C4","3-Hydroxyanthranilic acid",7015964
"298","Hippocampus","C4","3-Hydroxyanthranilic acid",4727244
"299","Hippocampus","C4","3-Hydroxyanthranilic acid",4861136
"300","Hippocampus","C4","3-Hydroxyanthranilic acid",6986400
"301","Hippocampus","C4","3-Hydroxyanthranilic acid",7654970
"302","Hippocampus","C4","3-Hydroxyanthranilic acid",10839114
"303","Hippocampus","C4","3-Hydroxyanthranilic acid",9029074
"304","Hippocampus","C4","3-Hydroxyanthranilic acid",8653179
"305","Hippocampus","Est","3-Hydroxyanthranilic acid",1048655
"306","Hippocampus","Est","3-Hydroxyanthranilic acid",5625097
"307","Hippocampus","Est","3-Hydroxyanthranilic acid",5136684
"308","Hippocampus","Est","3-Hydroxyanthranilic acid",5404052
"309","Hippocampus","Est","3-Hydroxyanthranilic acid",14152408
"310","Hippocampus","Est","3-Hydroxyanthranilic acid",9675545
"311","Hippocampus","Est","3-Hydroxyanthranilic acid",12285109
"312","Hippocampus","Est","3-Hydroxyanthranilic acid",2151084
"313","Basal ganglia","Control","3-Hydroxyanthranilic acid",6884829
"314","Basal ganglia","Control","3-Hydroxyanthranilic acid",8395152
"315","Basal ganglia","Control","3-Hydroxyanthranilic acid",5311347
"316","Basal ganglia","Control","3-Hydroxyanthranilic acid",3350303
"317","Basal ganglia","Control","3-Hydroxyanthranilic acid",4730959
"318","Basal ganglia","Control","3-Hydroxyanthranilic acid",5600951
"319","Basal ganglia","Control","3-Hydroxyanthranilic acid",3710758
"320","Basal ganglia","Control","3-Hydroxyanthranilic acid",6193742
"321","Basal ganglia","C4","3-Hydroxyanthranilic acid",5136216
"322","Basal ganglia","C4","3-Hydroxyanthranilic acid",9864525
"323","Basal ganglia","C4","3-Hydroxyanthranilic acid",1662208
"324","Basal ganglia","C4","3-Hydroxyanthranilic acid",2332642
"325","Basal ganglia","C4","3-Hydroxyanthranilic acid",3419207
"326","Basal ganglia","C4","3-Hydroxyanthranilic acid",2117308
"327","Basal ganglia","C4","3-Hydroxyanthranilic acid",4173794
"328","Basal ganglia","C4","3-Hydroxyanthranilic acid",751503
"329","Basal ganglia","Est","3-Hydroxyanthranilic acid",4263754
"330","Basal ganglia","Est","3-Hydroxyanthranilic acid",4819537
"331","Basal ganglia","Est","3-Hydroxyanthranilic acid",2395560
"332","Basal ganglia","Est","3-Hydroxyanthranilic acid",3546931
"333","Basal ganglia","Est","3-Hydroxyanthranilic acid",3220184
"334","Basal ganglia","Est","3-Hydroxyanthranilic acid",2302031
"335","Basal ganglia","Est","3-Hydroxyanthranilic acid",6067204
"336","Basal ganglia","Est","3-Hydroxyanthranilic acid",4621337
"337","Hypothalamus","Control","3-Hydroxyanthranilic acid",2453983
"338","Hypothalamus","Control","3-Hydroxyanthranilic acid",4185957
"339","Hypothalamus","Control","3-Hydroxyanthranilic acid",5116461
